0,CombatZoneResize,241,226,406,391
0,HeartTeleport,320,324,,
0,HeartMode,1,,,
0,SET,Loop,14,,
0,JMPABS,7,,,
0.3,JMPZ,37,$Loop,,
0.5,SUB,Loop,$Loop,1,
0,RND,Direction,4,,
0,ADD,Jump,$Direction,1,
0,JMPREL,$Jump,,,
0,JMPREL,4,,,
0,JMPREL,8,,,
0,JMPREL,12,,,
0,JMPREL,16,,,
0,SansBody,HandRight,,,
0.1,BoneStab,0,40,0.6,0.2
0,BoneStab,2,80,0.6,0.2
0.1,SansSlam,0,,,
0,JMPABS,6,,,
0,SansBody,HandDown,,,
0.1,BoneStab,1,40,0.6,0.2
0,BoneStab,3,80,0.6,0.2
0.1,SansSlam,1,,,
0,JMPABS,6,,,
0,SansBody,HandLeft,,,
0.1,BoneStab,2,40,0.6,0.2
0,BoneStab,0,80,0.6,0.2
0.1,SansSlam,2,,,
0,JMPABS,6,,,
0,SansBody,HandUp,,,
0.1,BoneStab,3,40,0.6,0.2
0,BoneStab,1,80,0.6,0.2
0.1,SansSlam,3,,,
0,JMPABS,6,,,
,,,,,
,,,,,
0.5,EndAttack,,,,
